,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2019-02-11,242.714844,160.963821,137.991653,99.076447,123.599998,57.695709,21.822561
2019-02-12,245.835983,163.343887,139.717682,98.824402,123.860001,57.974579,21.746494
2019-02-13,246.634247,163.458572,140.110321,98.450432,123.370003,57.892963,21.864819
2019-02-14,246.087143,163.659271,140.429993,99.011360,124.059998,57.899742,21.839462
2019-02-15,248.768768,164.347504,142.667419,99.165840,124.800003,58.083420,21.797207
2019-02-19,249.199326,164.672516,143.060120,99.417839,126.699997,58.103767,21.712687
2019-02-20,249.701569,164.643845,143.735931,99.133301,126.480003,58.151386,21.729591
2019-02-21,248.813644,164.041641,143.187988,98.247185,125.050003,58.096985,21.746494
2019-02-22,250.356384,165.255600,144.430038,98.832527,125.500000,58.212612,21.738041
2019-02-25,250.697128,165.857758,144.466522,98.539833,125.370003,58.260220,21.721142
2019-02-26,250.517807,166.029785,143.471115,99.027657,125.580002,58.335026,21.636621
2019-02-27,250.410172,165.924713,143.672028,97.905724,124.690002,58.355442,21.653526
2019-02-28,249.943710,165.542358,143.178818,97.572418,123.989998,58.321430,21.670427
2019-03-01,251.504333,166.689392,144.512207,96.670540,121.879997,58.486771,21.754946
2019-03-04,250.589462,166.717987,143.206253,97.428200,121.559998,58.397968,21.780304
2019-03-05,250.248703,166.842270,142.539566,97.631874,121.720001,58.370628,21.839462
2019-03-06,248.732941,165.895996,139.745087,97.990364,121.610001,58.274960,21.839462
2019-03-07,246.652206,163.860077,138.521301,98.625839,121.510002,58.233986,22.033857
2019-03-08,246.158875,163.611511,138.484802,99.041298,122.839996,58.138355,21.966240
2019-03-11,249.728500,167.014343,140.904877,98.748001,122.239998,58.329575,21.915531
2019-03-12,250.670135,167.931885,140.977905,99.440475,122.980003,58.432091,21.873270
2019-03-13,252.329468,169.193649,141.534973,99.253151,123.839996,58.589256,21.771851
2019-03-14,252.167999,168.906906,140.959671,98.536171,122.410004,58.548256,21.839462
2019-03-15,253.413849,170.474442,141.334030,99.187920,122.970001,58.602901,21.805656
2019-03-18,254.332687,170.880463,142.238174,99.130898,123.040001,58.582397,21.780304
2019-03-19,254.395706,171.455048,141.516739,98.910942,123.379997,58.616558,21.754946
2019-03-20,253.630081,172.134933,140.337326,99.945610,124.180000,58.869328,21.628168
2019-03-21,256.494720,174.825729,142.177826,100.165543,123.680000,58.855690,21.763399
2019-03-22,251.558136,170.985794,137.004242,101.721565,123.970001,58.643879,21.805656
2019-03-25,251.368912,170.660248,137.608627,101.884575,124.919998,58.623394,21.805656
2019-03-26,253.242737,171.455048,139.055389,101.811226,124.300003,58.766869,21.873270
2019-03-27,251.918396,170.353790,138.515167,102.748108,123.650002,58.807858,21.898628
2019-03-28,252.873413,170.746414,139.751312,103.106575,121.900002,58.924007,21.974693
2019-03-29,254.467896,172.039154,140.181656,103.008789,122.010002,59.074303,22.000048
2019-04-01,257.485657,174.318176,141.710846,101.545692,121.529999,59.059891,21.983147
2019-04-02,257.611816,174.978958,141.344574,101.733452,121.980003,59.087330,22.008503
2019-04-03,258.017120,175.984390,142.077118,100.851692,121.800003,59.107937,21.974693
2019-04-04,258.701782,175.917389,142.773026,101.137436,122.110001,59.197140,22.000048
2019-04-05,259.953949,176.827057,144.109924,101.268089,121.980003,59.306904,22.025404
2019-04-08,260.152100,177.277115,143.871887,100.908844,122.510002,59.272591,21.949339
2019-04-09,258.818878,176.654709,142.113739,101.227249,123.150002,59.231426,21.957790
2019-04-10,259.701691,177.602661,144.045822,101.472198,123.529999,59.492168,21.923983
2019-04-11,259.629700,177.181366,143.862717,100.876167,121.949997,59.581379,21.991596
2019-04-12,261.386292,177.947433,144.384613,100.157692,121.830002,59.670578,21.940884
2019-04-15,261.215027,177.976196,143.917648,100.410759,121.599998,59.629395,21.932434
2019-04-16,261.386292,178.588989,144.256485,99.782097,120.510002,59.595135,21.983147
2019-04-17,260.746674,179.211441,142.937897,99.822929,120.279999,59.451015,21.966240
